Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/SQS QueueName:attendance-queue ApproximateNumberOfMessagesVisible Average 60
Label,ApproximateNumberOfMessagesVisible
2026/05/24 20:50:00,57341
2026/05/24 20:51:00,57593
2026/05/24 20:52:00,57857
2026/05/24 20:53:00,58028
2026/05/24 20:54:00,58378
2026/05/24 20:55:00,58638
2026/05/24 20:56:00,58643
2026/05/24 20:57:00,58643
2026/05/24 20:58:00,0
2026/05/24 20:59:00,0
2026/05/24 21:00:00,0
2026/05/24 21:01:00,0
2026/05/24 21:02:00,0
2026/05/24 21:03:00,0
2026/05/24 21:04:00,0
2026/05/24 21:05:00,0
2026/05/24 21:06:00,6
2026/05/24 21:07:00,55
2026/05/24 21:08:00,162
2026/05/24 21:09:00,258
2026/05/24 21:10:00,494
2026/05/24 21:11:00,857
2026/05/24 21:12:00,1754
2026/05/24 21:13:00,2931
2026/05/24 21:14:00,4198
2026/05/24 21:15:00,5529
2026/05/24 21:16:00,6868
2026/05/24 21:17:00,8097
2026/05/24 21:18:00,9270
2026/05/24 21:19:00,10290
2026/05/24 21:20:00,11934
2026/05/24 21:21:00,13341
2026/05/24 21:22:00,14553
2026/05/24 21:23:00,15218
2026/05/24 21:24:00,17911
2026/05/24 21:25:00,20248
2026/05/24 21:26:00,22935
2026/05/24 21:27:00,25587
