Id,m1
StatusCode,Complete
Messages,
Full label,us-east-1:AWS/EC2 AutoScalingGroupName:asg-cpu-based CPUUtilization Average 60
Label,CPUUtilization
2026/05/24 20:49:00,
2026/05/24 20:50:00,1.0100145837726686
2026/05/24 20:51:00,
2026/05/24 20:52:00,
2026/05/24 20:53:00,
2026/05/24 20:54:00,
2026/05/24 20:55:00,0.29681816376266357
2026/05/24 20:56:00,
2026/05/24 20:57:00,
2026/05/24 20:58:00,
2026/05/24 20:59:00,
2026/05/24 21:00:00,0.15666671348336983
2026/05/24 21:01:00,
2026/05/24 21:02:00,
2026/05/24 21:03:00,
2026/05/24 21:04:00,
2026/05/24 21:05:00,0.4232713484471913
2026/05/24 21:06:00,
2026/05/24 21:07:00,
2026/05/24 21:08:00,
2026/05/24 21:09:00,
2026/05/24 21:10:00,2.2055454514383896
2026/05/24 21:11:00,
2026/05/24 21:12:00,
2026/05/24 21:13:00,
2026/05/24 21:14:00,
2026/05/24 21:15:00,3.196638620104527
2026/05/24 21:16:00,
2026/05/24 21:17:00,
2026/05/24 21:18:00,
2026/05/24 21:19:00,
2026/05/24 21:20:00,3.7000688250685174
2026/05/24 21:21:00,
2026/05/24 21:22:00,
2026/05/24 21:23:00,
2026/05/24 21:24:00,
2026/05/24 21:25:00,6.108880904843003
